"","id","origen.x","origen.y","var.x","Z_dx_numeric_cor","Z_dx_numeric_chi","Z_dx_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"1153","GIUS","Pulsera","TargetVar","S_Nbouts_day_IN_bts_1_10",0.1563,0.0395,0.0507,-0.06,0.4633,0.4556,-0.1288,0.5663,0.1078,0.2699,0.0435,6e-04,0.091,0.0511,0.2569,NA,NA,NA
"1154","GIUS","Pulsera","TargetVar","S_Nbouts_day_IN_bts_10_30",-0.173,0.7331,0.0303,0.3041,0.4503,1e-04,-0.2865,0.8625,3e-04,-0.16,0.968,0.0454,0.0583,0.0918,0.468,NA,NA,NA
"1155","GIUS","Pulsera","TargetVar","S_Nbouts_day_IN_bts_30",-0.0213,0.7916,0.7916,-0.0816,0.6469,0.3096,0.1878,0.6968,0.0185,-0.1207,0.9957,0.1323,-0.0587,0.0815,0.4654,NA,NA,NA
"1156","GIUS","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_1_10",0.0499,0.0449,0.5352,0.0058,0.2712,0.9422,-0.1265,0.2321,0.1144,0.2554,0.0402,0.0012,-0.0219,0.2684,0.7854,NA,NA,NA
"1157","GIUS","Pulsera","TargetVar","S_Nbouts_day_LIG_bts_10",0.3323,0.0439,0,-0.141,0.4353,0.0781,-0.0748,0.6516,0.3515,-0.1044,0.9368,0.1932,0.4778,0,0,NA,NA,NA
"1158","GIUS","Pulsera","TargetVar","S_Nbouts_day_MVPA_bts_1",0.0363,0.4898,0.6521,0.0876,0.6062,0.2754,-0.1513,0.6057,0.0586,-0.1154,0.9558,0.1502,0.1929,0.0305,0.0155,NA,NA,NA
"1159","GIUS","Pulsera","TargetVar","S_night_number",-0.1618,0.9562,0.0429,-0.0518,0.8157,0.5195,0.2855,0.9129,3e-04,-0.1406,0.9994,0.0789,-0.2604,0.1276,0.001,NA,NA,NA
"1160","GIUS","Pulsera","TargetVar","S_nonwear_perc_day",-0.055,0.8749,0.494,0.0664,1,0.4085,-0.0492,1,0.5408,-0.0197,1,0.8061,-0.023,1,0.7746,NA,NA,NA
"1161","GIUS","Pulsera","TargetVar","S_nonwear_perc_day_spt",-0.1701,0.9895,0.0332,0.1027,0.5519,0.2006,0.0238,0.4204,0.7677,-0.0841,0.3529,0.2951,-0.1562,1,0.0507,NA,NA,NA
"1162","GIUS","Pulsera","TargetVar","S_nonwear_perc_spt",-0.164,0.9854,0.0402,0.0908,0.5433,0.2583,0.0389,0.3949,0.6284,-0.0904,0.3182,0.2604,-0.1541,1,0.0539,NA,NA,NA
"1163","GIUS","Pulsera","TargetVar","S_quantile_mostactive30min_mg",0.0583,0.4138,0.4682,0.077,0.44,0.3381,-0.1655,0.44,0.0383,-0.0786,0.44,0.328,0.2042,0.44,0.0103,NA,NA,NA
"1164","GIUS","Pulsera","TargetVar","S_quantile_mostactive60min_mg",0.1182,0.3715,0.1403,0.0039,0.4412,0.9614,-0.1163,0.4511,0.147,-0.0361,0.3956,0.6537,0.2195,0.3956,0.0057,NA,NA,NA
"1165","GIUS","Pulsera","TargetVar","S_sleep_efficiency",-0.0696,0.4524,0.3867,0.071,0.4625,0.3771,-0.1092,0.4625,0.1732,0.2383,0.4625,0.0027,-0.1564,0.4625,0.0505,NA,NA,NA
"1167","GIUS","Pulsera","TargetVar","S_sleeponset",0.1771,0.448,0.0265,-0.3642,0.4865,0,0.4279,0.4965,0,-0.0172,0.44,0.8303,-0.0294,0.44,0.7144,NA,NA,NA
"1168","GIUS","Pulsera","TargetVar","S_wakeup",0.0212,0.448,0.7924,-0.0971,0.4865,0.2263,0.2203,0.4965,0.0056,-0.3114,0.44,1e-04,0.0823,0.44,0.3057,NA,NA,NA
"1169","GIUS","Pulsera","TargetVar","S_week",0.2734,0,1e-04,-0.3043,0,0,0.0235,0,0.7484,0.5222,0,0,-0.1413,0,0.0525,NA,NA,NA
"1170","GIUS","Pulsera","TargetVar","S_window_number",-0.1702,0.8383,0.0331,-0.0403,0.8372,0.6164,0.2757,0.9504,5e-04,-0.1438,0.9394,0.0723,-0.2624,0.1012,9e-04,NA,NA,NA
"1175","MAMA","Diario","TargetVar","D_concentration",-0.2033,0.0631,0.0241,0.2033,0.0631,0.0241,-0.2033,0.0631,0.0241,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","MAMA","Diario","TargetVar","D_irritability",-0.0749,1,0.4101,0.0749,1,0.4101,-0.0749,1,0.4101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180","MAMA","Diario","TargetVar","D_sleep_duration",0.319,0.0775,3e-04,-0.319,0.0775,3e-04,0.319,0.0775,3e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181","MAMA","Diario","TargetVar","D_sleep_quality",0.0696,0.0069,0.4443,-0.0696,0.0069,0.4443,0.0696,0.0069,0.4443,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","MAMA","Diario","TargetVar","D_sleep_time",0.1953,0.0754,0.0304,-0.1953,0.0754,0.0304,0.1953,0.0754,0.0304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","MAMA","Diario","TargetVar","D_sleep_zenith",-0.0635,0.2965,0.4855,0.0635,0.2965,0.4855,-0.0635,0.2965,0.4855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","MAMA","Diario","TargetVar","D_slowness_fill_form",0.0032,0.1731,0.9716,-0.0032,0.1731,0.9716,0.0032,0.1731,0.9716,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185","MAMA","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.4719,0.1731,0,0.4719,0.1731,0,-0.4719,0.1731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","MAMA","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.4719,0.1731,0,0.4719,0.1731,0,-0.4719,0.1731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","MAMA","Diario","TargetVar","D_time_start_form",-0.0458,0.3376,0.6152,0.0458,0.3376,0.6152,-0.0458,0.3376,0.6152,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189","MAMA","Diario","TargetVar","D_wakeup_time",0.2292,0.4747,0.0108,-0.2292,0.4747,0.0108,0.2292,0.4747,0.0108,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1286","MAMA","Pulsera","TargetVar","S_week",0.8489,0,0,-0.8489,0,0,0.8489,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","NUAR","Diario","TargetVar","D_animus",-0.0111,0.5362,0.8695,0.0111,0.5362,0.8695,NA,NA,NA,NA,NA,NA,-0.0111,0.5362,0.8695,NA,NA,NA
"1290","NUAR","Diario","TargetVar","D_anxiety",-0.0411,0.3855,0.5438,0.0411,0.3855,0.5438,NA,NA,NA,NA,NA,NA,-0.0411,0.3855,0.5438,NA,NA,NA
"1291","NUAR","Diario","TargetVar","D_caffeine",-0.1499,1,0.0259,0.1499,1,0.0259,NA,NA,NA,NA,NA,NA,-0.1499,1,0.0259,NA,NA,NA
"1292","NUAR","Diario","TargetVar","D_concentration",-0.0794,0.4285,0.2399,0.0794,0.4285,0.2399,NA,NA,NA,NA,NA,NA,-0.0794,0.4285,0.2399,NA,NA,NA
"1294","NUAR","Diario","TargetVar","D_irritability",-0.095,0.3634,0.1593,0.095,0.3634,0.1593,NA,NA,NA,NA,NA,NA,-0.095,0.3634,0.1593,NA,NA,NA
"1297","NUAR","Diario","TargetVar","D_sleep_duration",-0.0519,0,0.4423,0.0519,0,0.4423,NA,NA,NA,NA,NA,NA,-0.0519,0,0.4423,NA,NA,NA
"1298","NUAR","Diario","TargetVar","D_sleep_quality",-0.0304,0.5572,0.6529,0.0304,0.5572,0.6529,NA,NA,NA,NA,NA,NA,-0.0304,0.5572,0.6529,NA,NA,NA
"1299","NUAR","Diario","TargetVar","D_sleep_time",-0.1269,0,0.0596,0.1269,0,0.0596,NA,NA,NA,NA,NA,NA,-0.1269,0,0.0596,NA,NA,NA
"1300","NUAR","Diario","TargetVar","D_sleep_zenith",0.0494,0.0033,0.4654,-0.0494,0.0033,0.4654,NA,NA,NA,NA,NA,NA,0.0494,0.0033,0.4654,NA,NA,NA
"1301","NUAR","Diario","TargetVar","D_slowness_fill_form",-0.0652,0.3045,0.3347,0.0652,0.3045,0.3347,NA,NA,NA,NA,NA,NA,-0.0652,0.3045,0.3347,NA,NA,NA
"1302","NUAR","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.0667,0.3045,0.3235,0.0667,0.3045,0.3235,NA,NA,NA,NA,NA,NA,-0.0667,0.3045,0.3235,NA,NA,NA
"1303","NUAR","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.0667,0.3045,0.3235,0.0667,0.3045,0.3235,NA,NA,NA,NA,NA,NA,-0.0667,0.3045,0.3235,NA,NA,NA
"1304","NUAR","Diario","TargetVar","D_time_start_form",-0.2337,0.4494,5e-04,0.2337,0.4494,5e-04,NA,NA,NA,NA,NA,NA,-0.2337,0.4494,5e-04,NA,NA,NA
"1306","NUAR","Diario","TargetVar","D_wakeup_time",0.0155,3e-04,0.8188,-0.0155,3e-04,0.8188,NA,NA,NA,NA,NA,NA,0.0155,3e-04,0.8188,NA,NA,NA
"1403","NUAR","Pulsera","TargetVar","S_week",-0.0943,0,0.1622,0.0943,0,0.1622,NA,NA,NA,NA,NA,NA,-0.0943,0,0.1622,NA,NA,NA
"1523","SAPE","Diario","TargetVar","D_animus",-0.0508,0,0.4542,-0.2133,0.0118,0.0015,0.4287,0,0,-0.3024,3e-04,0,NA,NA,NA,NA,NA,NA
"1524","SAPE","Diario","TargetVar","D_anxiety",0.0195,0,0.7747,0.2359,0.0055,4e-04,-0.4251,0,0,0.2747,5e-04,0,NA,NA,NA,NA,NA,NA
"1525","SAPE","Diario","TargetVar","D_caffeine",0.0932,2e-04,0.1693,-0.1274,0.001,0.0598,0.0913,0.0112,0.1785,0.0201,0.0212,0.7669,NA,NA,NA,NA,NA,NA
"1526","SAPE","Diario","TargetVar","D_concentration",0.1282,0,0.0583,0.033,0.0165,0.6273,-0.2268,1e-04,7e-04,0.2422,7e-04,3e-04,NA,NA,NA,NA,NA,NA
"1528","SAPE","Diario","TargetVar","D_irritability",0.2432,0,3e-04,-0.0083,0.0016,0.9026,-0.3104,0,0,0.3866,0,0,NA,NA,NA,NA,NA,NA
"1529","SAPE","Diario","TargetVar","D_motivation",0.3052,0,0,-0.5175,0,0,0.4686,0,0,-0.0374,0.3161,0.5815,NA,NA,NA,NA,NA,NA
"1530","SAPE","Diario","TargetVar","D_observation_string_length",0.0031,0.9032,0.9633,-0.0617,0.8728,0.3639,0.1001,0.4389,0.1397,-0.0584,0.8963,0.3894,NA,NA,NA,NA,NA,NA
"1531","SAPE","Diario","TargetVar","D_sleep_duration",-0.2763,0.0208,0,0.3942,6e-04,0,-0.2983,0.2316,0,-0.0428,0.5394,0.5286,NA,NA,NA,NA,NA,NA
"1532","SAPE","Diario","TargetVar","D_sleep_quality",-0.1144,0.0058,0.0913,0.0875,0.0032,0.1972,0.0046,0.0115,0.9464,-0.0957,0.3371,0.1582,NA,NA,NA,NA,NA,NA
"1533","SAPE","Diario","TargetVar","D_sleep_time",-0.4806,0,0,0.5715,0,0,-0.3259,0.0012,0,-0.1919,0.0909,0.0044,NA,NA,NA,NA,NA,NA
"1534","SAPE","Diario","TargetVar","D_sleep_zenith",0.2204,0.064,0.001,-0.2461,0.0051,2e-04,0.1224,0.1917,0.0705,0.1045,0.6536,0.1233,NA,NA,NA,NA,NA,NA
"1535","SAPE","Diario","TargetVar","D_slowness_fill_form",-0.0049,0.1557,0.9426,-0.035,0.0277,0.6063,0.0658,0.3959,0.3327,-0.044,0.6,0.5169,NA,NA,NA,NA,NA,NA
"1536","SAPE","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.0194,0.1557,0.7752,-0.0012,0.0277,0.9863,0.0279,0.3959,0.6818,-0.0327,0.6,0.63,NA,NA,NA,NA,NA,NA
"1537","SAPE","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",-0.0194,0.1557,0.7752,-0.0012,0.0277,0.9863,0.0279,0.3959,0.6818,-0.0327,0.6,0.63,NA,NA,NA,NA,NA,NA
"1538","SAPE","Diario","TargetVar","D_time_start_form",-0.045,0.3815,0.5075,0.0915,0.3511,0.1772,-0.0948,0.4443,0.1622,0.0211,0.4489,0.7557,NA,NA,NA,NA,NA,NA
"1540","SAPE","Diario","TargetVar","D_wakeup_time",0.0023,0.0242,0.9725,0.0451,0.021,0.5067,-0.0794,0.1875,0.2417,0.0503,0.1379,0.4591,NA,NA,NA,NA,NA,NA
"1542","SAPE","Pulsera","TargetVar","S_ACC_day_IN_bts_1_10_mg",-0.1243,0.453,0.1621,-0.0362,0.4584,0.6848,0.1791,0.4584,0.0431,-0.1719,0.4584,0.0523,NA,NA,NA,NA,NA,NA
"1543","SAPE","Pulsera","TargetVar","S_ACC_day_IN_bts_10_30_mg",-0.1959,0.418,0.0267,0.1276,0.4336,0.1511,0.0879,0.4336,0.324,-0.1665,0.4336,0.0603,NA,NA,NA,NA,NA,NA
"1544","SAPE","Pulsera","TargetVar","S_ACC_day_IN_bts_30_mg",-0.2924,0.453,8e-04,6e-04,0.4584,0.9947,0.3309,0.4584,1e-04,-0.3559,0.4584,0,NA,NA,NA,NA,NA,NA
"1545","SAPE","Pulsera","TargetVar","S_ACC_day_IN_unbt_mg",-0.0949,0.453,0.2866,0.1203,0.4584,0.1762,-0.0189,0.4584,0.8321,-0.0476,0.4584,0.5933,NA,NA,NA,NA,NA,NA
"1546","SAPE","Pulsera","TargetVar","S_ACC_day_LIG_bts_1_10_mg",0.0552,0.418,0.5362,0.0277,0.4336,0.756,-0.0917,0.4336,0.3031,0.0829,0.4336,0.3523,NA,NA,NA,NA,NA,NA
"1547","SAPE","Pulsera","TargetVar","S_ACC_day_LIG_bts_10_mg",0.1146,0.8649,0.1978,0.0859,0.9837,0.3348,-0.2203,0.3313,0.0125,0.1882,0.5408,0.0334,NA,NA,NA,NA,NA,NA
"1548","SAPE","Pulsera","TargetVar","S_ACC_day_LIG_unbt_mg",-0.0295,0.453,0.7407,-0.0518,0.4584,0.5612,0.088,0.4584,0.3233,-0.0653,0.4584,0.4642,NA,NA,NA,NA,NA,NA
"1549","SAPE","Pulsera","TargetVar","S_ACC_day_mg",-0.3418,0.453,1e-04,0.0711,0.4584,0.4254,0.3128,0.4584,3e-04,-0.3762,0.4584,0,NA,NA,NA,NA,NA,NA
"1550","SAPE","Pulsera","TargetVar","S_ACC_day_MOD_unbt_mg",-0.3594,0.453,0,0.0439,0.4584,0.6231,0.3614,0.4584,0,-0.4131,0.4584,0,NA,NA,NA,NA,NA,NA
"1551","SAPE","Pulsera","TargetVar","S_ACC_day_MVPA_bts_1_mg",-0.2032,0.8237,0.0214,0.1909,0.9504,0.0309,0.0296,0.2494,0.7402,-0.1397,0.506,0.1159,NA,NA,NA,NA,NA,NA
"1552","SAPE","Pulsera","TargetVar","S_ACC_day_spt_mg",-0.3894,0.453,0,0.0825,0.4584,0.3548,0.3548,0.4584,0,-0.4278,0.4584,0,NA,NA,NA,NA,NA,NA
"1553","SAPE","Pulsera","TargetVar","S_ACC_day_total_IN_mg",-0.4785,0.453,0,0.0952,0.4584,0.2849,0.4424,0.4584,0,-0.5291,0.4584,0,NA,NA,NA,NA,NA,NA
"1554","SAPE","Pulsera","TargetVar","S_ACC_day_total_LIG_mg",-0.1822,0.453,0.0395,-0.0498,0.4584,0.5769,0.259,0.4584,0.0032,-0.2502,0.4584,0.0044,NA,NA,NA,NA,NA,NA
"1555","SAPE","Pulsera","TargetVar","S_ACC_day_total_MOD_mg",-0.2973,0.453,7e-04,0.0022,0.4584,0.9799,0.3348,0.4584,1e-04,-0.361,0.4584,0,NA,NA,NA,NA,NA,NA
"1556","SAPE","Pulsera","TargetVar","S_ACC_day_total_VIG_mg",-0.0318,0.8145,0.7216,0.2208,0.9618,0.0123,-0.1961,0.192,0.0265,0.086,0.4631,0.3345,NA,NA,NA,NA,NA,NA
"1557","SAPE","Pulsera","TargetVar","S_ACC_day_VIG_unbt_mg",-0.0737,0.8043,0.4085,0.0085,0.9625,0.924,0.0746,0.1748,0.4027,-0.085,0.445,0.3404,NA,NA,NA,NA,NA,NA
"1558","SAPE","Pulsera","TargetVar","S_ACC_spt_mg",-0.3195,0.453,2e-04,0.1003,0.4584,0.2598,0.2567,0.4584,0.0034,-0.3325,0.4584,1e-04,NA,NA,NA,NA,NA,NA
"1559","SAPE","Pulsera","TargetVar","S_ACC_spt_sleep_mg",-0.4709,0.453,0,0.0988,0.4584,0.2674,0.4301,0.4584,0,-0.5179,0.4584,0,NA,NA,NA,NA,NA,NA
"1560","SAPE","Pulsera","TargetVar","S_ACC_spt_wake_IN_mg",-0.3195,0.453,2e-04,0.1493,0.4584,0.0925,0.2053,0.4584,0.0201,-0.3049,0.4584,5e-04,NA,NA,NA,NA,NA,NA
"1561","SAPE","Pulsera","TargetVar","S_ACC_spt_wake_LIG_mg",-0.1892,0.453,0.0325,-0.0576,0.4584,0.5183,0.2751,0.4584,0.0017,-0.263,0.4584,0.0027,NA,NA,NA,NA,NA,NA
"1562","SAPE","Pulsera","TargetVar","S_ACC_spt_wake_MOD_mg",-0.1125,0.453,0.206,-0.0869,0.4584,0.3294,0.219,0.4584,0.013,-0.1862,0.4584,0.0353,NA,NA,NA,NA,NA,NA
"1563","SAPE","Pulsera","TargetVar","S_ACC_spt_wake_VIG_mg",-0.1143,0.755,0.199,0.08,0.7416,0.3692,0.0454,0.3779,0.6108,-0.094,0.7124,0.2912,NA,NA,NA,NA,NA,NA
"1570","SAPE","Pulsera","TargetVar","S_daysleeper",-0.0301,0.9685,0.7362,0.2445,0.9467,0.0054,-0.2231,0.4694,0.0114,0.1015,0.9308,0.2542,NA,NA,NA,NA,NA,NA
"1571","SAPE","Pulsera","TargetVar","S_dur_day_IN_bts_1_10_min",-0.2564,0.669,0.0035,-0.0101,0.7743,0.9098,0.3014,0.5362,5e-04,-0.3181,0.426,3e-04,NA,NA,NA,NA,NA,NA
"1572","SAPE","Pulsera","TargetVar","S_dur_day_IN_bts_10_30_min",-0.2013,0.4476,0.0227,-0.041,0.4089,0.6459,0.2713,0.4869,0.0019,-0.2684,0.4991,0.0022,NA,NA,NA,NA,NA,NA
"1573","SAPE","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",0.3501,0.418,1e-04,0.0444,0.4336,0.6188,-0.4437,0.4336,0,0.4517,0.4336,0,NA,NA,NA,NA,NA,NA
"1574","SAPE","Pulsera","TargetVar","S_dur_day_IN_unbt_min",-0.2921,0.4448,8e-04,0.0378,0.3845,0.6718,0.2915,0.5014,8e-04,-0.3346,0.5199,1e-04,NA,NA,NA,NA,NA,NA
"1575","SAPE","Pulsera","TargetVar","S_dur_day_LIG_bts_1_10_min",-0.2956,0.639,7e-04,0.1104,0.6631,0.215,0.2191,0.4716,0.013,-0.2977,0.5469,6e-04,NA,NA,NA,NA,NA,NA
"1576","SAPE","Pulsera","TargetVar","S_dur_day_LIG_bts_10_min",-0.0446,0.9691,0.6171,-0.0335,0.9768,0.7078,0.0858,0.7182,0.3357,-0.0732,0.8057,0.4113,NA,NA,NA,NA,NA,NA
"1577","SAPE","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",-0.2895,0.7307,9e-04,0.0404,0.7325,0.6509,0.2858,0.5707,0.0011,-0.3299,0.6007,1e-04,NA,NA,NA,NA,NA,NA
"1578","SAPE","Pulsera","TargetVar","S_dur_day_min",0.0514,0.5367,0.5644,0.059,0.6228,0.5083,-0.1204,0.4671,0.176,0.096,0.4089,0.2812,NA,NA,NA,NA,NA,NA
"1579","SAPE","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",-0.2769,0.6401,0.0016,-0.0257,0.6594,0.7737,0.3409,0.5214,1e-04,-0.3518,0.5332,0,NA,NA,NA,NA,NA,NA
"1580","SAPE","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",-0.1734,0.8241,0.0503,0.016,0.852,0.8575,0.1797,0.4389,0.0423,-0.2022,0.6801,0.0221,NA,NA,NA,NA,NA,NA
"1581","SAPE","Pulsera","TargetVar","S_dur_day_spt_min",0.0369,0.418,0.6792,0.1373,0.4336,0.1222,-0.1863,0.4336,0.0353,0.1225,0.4336,0.1682,NA,NA,NA,NA,NA,NA
"1582","SAPE","Pulsera","TargetVar","S_dur_day_total_IN_min",0.1824,0.453,0.0394,0.053,0.4584,0.552,-0.2626,0.4584,0.0028,0.2521,0.4584,0.0041,NA,NA,NA,NA,NA,NA
"1583","SAPE","Pulsera","TargetVar","S_dur_day_total_LIG_min",-0.2469,0.418,0.005,0.0457,0.4336,0.6088,0.2319,0.4336,0.0084,-0.2749,0.4336,0.0017,NA,NA,NA,NA,NA,NA
"1584","SAPE","Pulsera","TargetVar","S_dur_day_total_MOD_min",-0.2414,0.4448,0.006,-0.0472,0.3845,0.5968,0.3234,0.5014,2e-04,-0.3208,0.5199,2e-04,NA,NA,NA,NA,NA,NA
"1585","SAPE","Pulsera","TargetVar","S_dur_day_total_VIG_min",-0.2239,0.7893,0.0111,0.1972,0.9819,0.0257,0.0465,0.0776,0.6023,-0.1614,0.402,0.0688,NA,NA,NA,NA,NA,NA
"1586","SAPE","Pulsera","TargetVar","S_dur_day_VIG_unbt_min",-0.1011,1,0.256,-0.0965,1,0.2784,0.2162,0.7625,0.0142,-0.1778,0.9425,0.0447,NA,NA,NA,NA,NA,NA
"1587","SAPE","Pulsera","TargetVar","S_dur_spt_min",-0.0246,0.453,0.7826,0.1747,0.4584,0.0486,-0.1558,0.4584,0.0791,0.0687,0.4584,0.4411,NA,NA,NA,NA,NA,NA
"1588","SAPE","Pulsera","TargetVar","S_dur_spt_sleep_min",-0.2054,0.5721,0.02,0.1913,0.6468,0.0305,0.0317,0.4923,0.7227,-0.1421,0.4336,0.1095,NA,NA,NA,NA,NA,NA
"1589","SAPE","Pulsera","TargetVar","S_dur_spt_wake_IN_min",0.2276,0.5367,0.0098,-0.0136,0.6228,0.8786,-0.2437,0.4671,0.0056,0.2695,0.4089,0.0021,NA,NA,NA,NA,NA,NA
"1590","SAPE","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",-0.1485,0.4096,0.0944,0.0558,0.3606,0.5314,0.1096,0.4759,0.218,-0.1493,0.4945,0.0925,NA,NA,NA,NA,NA,NA
"1591","SAPE","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",-0.2451,0.8484,0.0053,0.0588,0.8907,0.5098,0.2161,0.5074,0.0143,-0.2654,0.641,0.0025,NA,NA,NA,NA,NA,NA
"1592","SAPE","Pulsera","TargetVar","S_dur_spt_wake_VIG_min",-0.134,0.1373,0.1317,0.1107,0.1789,0.2133,0.0354,0.1765,0.6914,-0.1006,0.2419,0.2584,NA,NA,NA,NA,NA,NA
"1593","SAPE","Pulsera","TargetVar","S_L10TIME_num",-0.0534,0.4313,0.5494,0.2227,0.4089,0.0115,-0.1737,0.4671,0.0499,0.0608,0.4762,0.4955,NA,NA,NA,NA,NA,NA
"1594","SAPE","Pulsera","TargetVar","S_L10VALUE",-0.2871,0.418,0.001,-0.0585,0.4336,0.5117,0.3871,0.4336,0,-0.3828,0.4336,0,NA,NA,NA,NA,NA,NA
"1595","SAPE","Pulsera","TargetVar","S_L5TIME_num",-0.162,0.453,0.0677,0.2347,0.4584,0.0077,-0.0632,0.4584,0.4786,-0.0647,0.4584,0.4678,NA,NA,NA,NA,NA,NA
"1596","SAPE","Pulsera","TargetVar","S_L5VALUE",-0.366,0.453,0,0.0662,0.4584,0.458,0.3454,0.4584,1e-04,-0.4085,0.4584,0,NA,NA,NA,NA,NA,NA
"1597","SAPE","Pulsera","TargetVar","S_M10TIME_num",0.1148,0.418,0.1969,-0.037,0.4336,0.6781,-0.0912,0.4336,0.3058,0.1189,0.4336,0.1812,NA,NA,NA,NA,NA,NA
"1598","SAPE","Pulsera","TargetVar","S_M10VALUE",-0.3379,0.418,1e-04,0.0931,0.4336,0.296,0.2853,0.4336,0.0011,-0.3591,0.4336,0,NA,NA,NA,NA,NA,NA
"1599","SAPE","Pulsera","TargetVar","S_M5TIME_num",0.046,0.453,0.6062,-0.0536,0.4584,0.5479,0.0042,0.4584,0.9623,0.0257,0.4584,0.773,NA,NA,NA,NA,NA,NA
"1600","SAPE","Pulsera","TargetVar","S_M5VALUE",-0.2937,0.453,8e-04,0.0817,0.4584,0.3593,0.2471,0.4584,0.0049,-0.3117,0.4584,3e-04,NA,NA,NA,NA,NA,NA
"1601","SAPE","Pulsera","TargetVar","S_N_atleast5minwakenight",0.0187,0.7847,0.8343,-0.0444,0.7353,0.619,0.0255,0.7053,0.7752,-0.0023,0.6408,0.9793,NA,NA,NA,NA,NA,NA
"1602","SAPE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_1_10",-0.2764,0.5779,0.0016,0.0154,0.5176,0.8634,0.2973,0.4385,7e-04,-0.328,0.6226,2e-04,NA,NA,NA,NA,NA,NA
"1603","SAPE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_10_30",-0.1859,0.9994,0.0356,-0.0032,0.9997,0.9711,0.2142,0.8302,0.0152,-0.2283,0.9443,0.0095,NA,NA,NA,NA,NA,NA
"1604","SAPE","Pulsera","TargetVar","S_Nblocks_day_IN_bts_30",0.185,0.9556,0.0366,-0.0653,0.9506,0.4641,-0.1411,0.8066,0.1122,0.1884,0.7672,0.0332,NA,NA,NA,NA,NA,NA
"1605","SAPE","Pulsera","TargetVar","S_Nblocks_day_IN_unbt",-0.2891,0.3735,9e-04,0.0399,0.4193,0.6545,0.2859,0.3275,0.0011,-0.3297,0.4103,1e-04,NA,NA,NA,NA,NA,NA
"1606","SAPE","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_1_10",-0.3015,0.9398,5e-04,0.1132,0.9193,0.2033,0.2228,0.7064,0.0115,-0.3034,0.8114,5e-04,NA,NA,NA,NA,NA,NA
"1607","SAPE","Pulsera","TargetVar","S_Nblocks_day_LIG_bts_10",-0.0502,0.8535,0.5735,-0.0377,0.9027,0.673,0.0966,0.5101,0.2783,-0.0825,0.6121,0.3548,NA,NA,NA,NA,NA,NA
"1608","SAPE","Pulsera","TargetVar","S_Nblocks_day_LIG_unbt",-0.2896,0.3836,9e-04,0.0249,0.4089,0.7805,0.3022,0.4089,5e-04,-0.3388,0.4089,1e-04,NA,NA,NA,NA,NA,NA
"1609","SAPE","Pulsera","TargetVar","S_Nblocks_day_MOD_unbt",-0.2564,0.6131,0.0035,-0.0286,0.9563,0.7485,0.3208,0.3177,2e-04,-0.3285,0.1132,2e-04,NA,NA,NA,NA,NA,NA
"1610","SAPE","Pulsera","TargetVar","S_Nblocks_day_MVPA_bts_1",-0.1517,0.9956,0.0875,-0.0965,1,0.2787,0.2734,0.4814,0.0018,-0.2393,0.6801,0.0065,NA,NA,NA,NA,NA,NA
"1611","SAPE","Pulsera","TargetVar","S_Nblocks_day_total_IN",-0.2473,0.3292,0.0049,0.0261,0.3371,0.7697,0.2529,0.3923,0.004,-0.2865,0.4011,0.001,NA,NA,NA,NA,NA,NA
"1612","SAPE","Pulsera","TargetVar","S_Nblocks_day_total_LIG",-0.256,0.5084,0.0035,0.0148,0.3606,0.8687,0.2748,0.5964,0.0017,-0.3035,0.6329,5e-04,NA,NA,NA,NA,NA,NA
